               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.026472,            0.011131,          0.00012399,             0.69756,             0.64504,              0.6824,             0.38505,            0.043086,           0.0065131,          9.8811e-05,            0.005347,            0.005347,            0.005347
                 143,            0.025788,            0.010389,          0.00011469,             0.67164,              0.6714,              0.6729,             0.39128,            0.043189,           0.0065881,          9.0307e-05,            0.005314,            0.005314,            0.005314
                 144,            0.026027,            0.010964,          0.00010942,             0.70319,             0.68321,             0.69647,             0.39245,             0.04243,           0.0067114,          8.6132e-05,            0.005281,            0.005281,            0.005281
                 145,            0.026153,            0.011087,          0.00011095,             0.72391,             0.65051,              0.6703,             0.37665,            0.043051,           0.0067663,          8.8184e-05,            0.005248,            0.005248,            0.005248
                 146,            0.025969,            0.010989,          0.00011442,             0.70133,             0.67557,             0.69372,             0.38652,            0.043029,           0.0064921,          9.0919e-05,            0.005215,            0.005215,            0.005215
                 147,            0.025287,            0.010851,          0.00011134,             0.70819,             0.63913,             0.67551,             0.37661,            0.044061,           0.0067575,          8.8799e-05,            0.005182,            0.005182,            0.005182
                 148,            0.026068,            0.010771,          0.00010548,             0.75329,             0.61767,              0.6889,             0.38963,            0.043481,           0.0066991,           8.745e-05,            0.005149,            0.005149,            0.005149
                 149,            0.025667,            0.011066,          0.00011121,             0.67887,             0.67176,             0.67817,             0.37704,            0.043263,           0.0066378,          9.4745e-05,            0.005116,            0.005116,            0.005116
                 150,            0.025582,            0.010862,          0.00011396,             0.68416,             0.66031,             0.66962,             0.39628,            0.043154,           0.0068934,          8.9645e-05,            0.005083,            0.005083,            0.005083
                 151,            0.025399,            0.010694,          0.00010923,             0.72931,             0.62214,             0.67637,             0.39124,            0.042338,           0.0066752,          8.6326e-05,             0.00505,             0.00505,             0.00505
                 152,            0.025004,            0.010974,          0.00010355,             0.73628,             0.64122,             0.68152,             0.39928,            0.042578,           0.0066235,           8.527e-05,            0.005017,            0.005017,            0.005017
                 153,            0.025146,            0.010709,          9.9047e-05,             0.69432,             0.65649,             0.68835,             0.39957,            0.042888,           0.0066676,          8.1467e-05,            0.004984,            0.004984,            0.004984
                 154,            0.025238,            0.010836,          9.9094e-05,             0.75348,             0.62997,             0.70933,             0.41495,            0.042129,           0.0067079,          8.2251e-05,            0.004951,            0.004951,            0.004951
                 155,            0.025056,            0.010499,          0.00010144,             0.75037,              0.6374,             0.68673,             0.40346,             0.04281,           0.0066673,          8.4061e-05,            0.004918,            0.004918,            0.004918
                 156,            0.024975,            0.010697,          0.00011185,             0.75423,             0.62214,             0.68211,              0.3946,            0.042947,           0.0066697,          8.6871e-05,            0.004885,            0.004885,            0.004885
                 157,            0.024253,            0.010695,          0.00010488,             0.76499,              0.6374,             0.69147,             0.39162,            0.042562,           0.0069436,          8.3357e-05,            0.004852,            0.004852,            0.004852
